3.881	51
3.97	52
4.011	53
4.126	26
5.571	27
5.675	28
5.793	29
5.895	30
5.992	31
6.088	32
6.184	33
6.284	34
6.383	35
6.481	36
6.575	37
6.656	38
6.717	39
6.773	40
6.828	41
6.878	42
6.924	43
6.966	44
7.007	45
7.053	46
7.095	47
7.16	48
7.205	49
7.247	50
7.289	51
7.331	52
7.372	53
7.415	54
7.477	55
7.521	56
7.562	57
7.603	58
7.645	59
7.686	60
7.728	61
7.769	62
8.105	63
8.152	64
8.191	65
8.229	66
8.268	67
8.306	68
8.344	69
8.382	70
8.421	71
8.46	72
8.498	73
8.635	36
9.317	37
9.366	38
9.417	39
9.464	40
9.512	41
9.559	42
9.615	43
9.666	44
9.712	45
9.762	46
9.81	47
9.858	48
9.912	49
9.958	50
10.012	51
10.063	52
10.116	53
